Title,Date,Rating,Description,Score
Tembo the Badass Elephant,"Dec 5, 2000",E,"TEMBO THE BADASS ELEPHANT is a larger than life, 2D side-scrolling action adventure from the creative geniuses behind the Pokémon games",Metascore 72 out of 100
Phoenotopia: Awakening,,,"Join Gail, a simple villager, who must heed the call for adventure when a great star ship appears in the night sky and abducts all the adults. As the new oldest member of her fragmented community, she must set out to solve this great mystery. Little does she know of the grand adventure before her, the evil lurking in the shadows, and the role she would play in the fight for Earth’s very existence!

Features:
- A narrative-driven single player adventure filled with charming characters, vibrant towns, and dangerous dungeons.
- Over 10 different weapons & tools with which to combat enemies and solve puzzles. Fly with rocket boots! Blast with bombs! Play the flute!
- Fight against over 50 different enemy types and 12 boss encounters.
- A world brimming with secrets! Find 33 Energy Gems, 55 Heart Pieces and 111 Moonstones.
- An achievement system, with 33 badges to earn, for players seeking extra challenge and replayability.
- Over 60 original songs ranging from mellow piano and orchestra to raging synth/metal rockers and bagpipes!
- A main campaign length estimated at 25 hours of playtime. 50 hours for completionists.

Solve the great mystery of the Phoenix!",Metascore 72 out of 100
The Splatters,"Jan 26, 2017",,"The Splatters are acrobatic masters with a unique death wish - to blow themselves up with style. In this action-puzzler, you unlock and master a variety of stunts and perform spectacular moves to clear out each stage in the most dramatic way possible. With its fast-paced, splattery liquid physics engine you won't play the same way twice. And using Splatter TV, an in-game feature for sharing game clips, you pick up a myriad of new moves as you watch the world’s top players perform their combos. It’s a messy, colorful show of skill and destruction. Life can be short. DIE WITH STYLE.",Metascore 72 out of 100
Majin and the Forsaken Kingdom,,,"In Majin and the Forsaken Kingdom, a once thriving society is suddenly engulfed by a dark force that nearly eradicates all of its inhabitants. Many tried to reclaim their fallen homeland but were annihilated by strange warriors who rose from the darkness. A hundred years later, a cunning young outsider is drawn to this forsaken kingdom where he encounters and befriends Majin, a mysterious monster-like being with incredible strength. Now in an effort to restore the empire, the two set out to uncover Majin's forgotten past and the secrets that lie within the ancient land.",Metascore 72 out of 100
Metal Max Xeno Reborn,"Sep 9, 2019",M,"Humanity is on the brink of extinction and the last remaining survivors look to push back against the machines.

Half a century ago of war against the mother computer NOA has reduced even Asia's largest metropolis, TOKIO, to rubble.

Explore this desolate wasteland and battle your way through onslaughts of enemies. Salvage, modify and hit back using tanks, weaponry and faithful battle dog, Pochi, to reclaim a future for the human race!

Set in a devastated world called Dystokio, Metal Max Xeno: Reborn is a nonlinear, open world, JRPG with real-time battle and vehicle combat elements. Take control of Talis and search for other survivors who wish to fight back against the machines of NOA. There are no limits to where you can go, no matter your progression in the game.",Metascore 72 out of 100
Phantom Abyss,,,Phantom Abyss is a massive asynchronous multiplayer game that casts players into procedurally-generated temples and tasks them with retrieving the sacred relics hidden within deadly chambers.,Metascore 72 out of 100
Mugsters,"Sep 17, 2003",T,"Aliens have taken over the planet and enslaved humanity. Only you have the know-how to drive back the dastardly threat, free your fellow Earthlings, and save the world.",Metascore 72 out of 100
Forspoken: In Tanta We Trust,,,"The new DLC is set after the original game’s story. Frey has brought peace to Athia, but the effects of the Break remain. As Frey searches for a way to free the land from this corruption, she hears a mysterious voice. Following it leads her to a destination she could never have expected: the past. She arrives, injured and draped in blood-soaked clothing, and finds a land at war. She has travelled to the Purge of the Rheddig - the legendary battle that devastated Athia and eventually drove the Tantas to madness. She also learns a grim truth about herself. Accompanied by Tanta Cinta and a new set of magical abilities, Frey sets out to discover the truth behind these events, save Athia… and perhaps also herself.",Metascore 71 out of 100
Electroplankton,"Apr 9, 2019",M,"Electroplankton is a ""touchable media art"" game that presents the player with ""soothing music"" and graphics on the DS's two screens. The game features 10 ""digital planktons"" that respond to players when they touch the screen or use the microphone. Planktons react by making gestures and sounds of their own. The game takes further advantage of the DS's microphone by recording and playing back sounds and voices as tunes.",Metascore 71 out of 100
DreamWorks Bee Movie Game,,,"Based on the DreamWorks Animation movie written, produced by and starring Jerry Seinfeld, Bee Movie Game lets players race, chase and fly their way through an adrenaline-fueled world of adventure as they experience the hilarious antics of Barry B. Benson, a dynamic and daring bee who knows there is more to life than making honey. [Activision]",Metascore 71 out of 100
Somerville,"Aug 20, 2020",E10+,"Jumpship’s debut title immersse players in a hand-crafted narrative set across a vivid and rural landscape. Set in the wake of a catastrophe and grounded in the intimate repercussions of large-scale conflict, players navigate through perilous terrain as they unravel the mysteries of Earth’s visitors.",Metascore 71 out of 100
ToeJam & Earl III: Mission to Earth,,,"The alien duo is back in an all-new adventure. In ToeJam & Earl III: Mission to Earth, ToeJam, Big Earl, and their new friend, Latisha, embark on a mission to retrieve the 12 sacred Albums of Funk, stolen by the inhabitantats of Earth. Across expansive environments, you must guide this group toward a showdown with the evil Anti-Funk. You'll collect a wide variety of power-ups, take on dangerous side quests, and double-team the clueless Earthlings in style.",Metascore 71 out of 100
Spectrobes: Origins,"Aug 18, 2009",E10+,"Spectrobes: Origins brings the successful series to Wii for the first time with a new story that reveals secrets from the past through flashbacks of significant events. In Spectrobes: Origins, players use the unique Wii controls to explore vast worlds, excavate three-dimensional fossils and unravel an engaging story while discovering the key to preventing a galactic threat. While immersed in the universe as never before, players fight enemies by controlling planetary patrol officer Rallen and commanding a Spectrobe creature at his side in large-scale, real-time battles. [Disney Interactive]",Metascore 71 out of 100
Dyscourse,,,Dyscourse is an interactive choose-your-own adventure where you journey through a stylized world of choice and consequence.,Metascore 71 out of 100
Styx: Master of Shadows,"Mar 25, 2015",,"Styx: Master of Shadows is an infiltration game with role-playing elements set in a dark fantasy universe, where you sneak, steal and assassinate your way through as Styx, a Goblin two-centuries old.",Metascore 71 out of 100
Sacred 2: Fallen Angel,,,"Ancaria already awaits you! The mighty realm of the Highelves lies in ruins. The raging war for control over the T-Energy wears down the land and lures its denizens into fear and chaos. The world calls for a hero to end this war. Accompany six characters through the mystic - technological universe of Sacred 2: Fallen Angel. Dwell on dreary paths or follow the ways of the light. The decision is yours alone, but be aware this decision will change the world. [Ascaron Entertainment]",Metascore 71 out of 100
The Typing of The Dead: Overkill,"Oct 7, 2014",M,The Typing of the dead: Overkill brings together the horror and comedy of the legendary House of the Dead series with unique typing mechanics in order to deliver a unique gaming cornucopia.  This visceral shooter puts you in the middle of a mutant outbreak in Bayou county.,Metascore 71 out of 100
Project Eden,,,"Designed by the team that created the original ""Tomb Raider,"" Project Eden puts the player in control of an elite 4-person team of Urban Protection Agency members called in to investigate a bizarre equipment malfunction at the Real Meat factory.",Metascore 71 out of 100
Factotum 90,"May 11, 2009",M,"In space no one can hear you remotely operate twin quadrupedal deck walker robots. You're in deep space and something's collided with the ship. Main power is offline and you're trapped. It's lucky you have access to this walker control terminal. It's a little old but with these two robots and some clever thinking you might be able to get power back on-line and save the day. Control two walker robots and puzzle your way through 30 levels to restore power, reactivate the life support and solve the mystery of the collision.",Metascore 71 out of 100
The Council - Episode 3: Ripples,,,"Episode 3: Ripples continues the story of Louis de Richet as plots are laid bare, characters reach their breaking point, and an unexpected, terrifying truth is uncovered. It will take all of Louis’ influence to prevent the situation from growing out of hand.",Metascore 71 out of 100
Pool Panic,"Oct 29, 2013",M,"Pool Panic frees billiards from the table and unleashes it into a world where everything from jungles and deserts to cities and swamps is a living pool game! You already know that sinking eight balls is the ultimate goal, but can you succeed while contending with monster balls chasing you, or ballerina balls leaping away from your well-aimed shots? Take on the role of the mischievous, and dare we say, oblivious cue ball in Pool Panic's unique world comprised of 100+ levels while enjoying the single-player campaign, or invite your friends to join you for a multiplayer panic.",Metascore 71 out of 100
Cubivore: Survival of the Fittest,,,"Eat or be eaten! Assume the role of an animal in it's early stages of evolutionary development. As your animal instincts take over, you will boldly traverse hostile environments, savagely stalking your prey to assert your place in the animal chain of power. Will you have what it takes to become the new king of beasts?

* Abstract cubic style comes to life, as a huge array of surreal creatures interact with their natural environments!

* Dolby Surround Sound immerses you in a world of wild grunts, menacing growls, and terrifying screeches!

* Ferociously addictive gameplay! Only a combination of strategy, instinct, and luck can keep your beast alive!

* Cultivate your beast's strengths by carefully selecting both your prey and mates to evolve in the most effective way!",Metascore 71 out of 100
Titan Quest: Ragnarok,"Oct 22, 2001",T,"At long last, Titan Quest continues its epic journey through the world of antiquity. A mysterious threat calls the heroes of Hades to the uncharted lands of northern Europe, where new enemies await and new powers and treasures are waiting to be found. This new expansion to the acclaimed Anniversary Edition of Titan Quest adds a fifth act of unprecedented scope, along with many new and requested features including new weapon types and a 10th Mastery for your characters to learn.",Metascore 71 out of 100
Loot Rascals,,,Only you can rescue Big Barry - your huge robot head pal - from a space theme park that’s been invaded by a tentacled pan-dimensional godbeast.,Metascore 71 out of 100
The Centennial Case: A Shijima Story,"Feb 10, 2016",E,"The complex and interwoven mysteries you’ll unravel in this investigative adventure are centered around the ill-fated Shijima family, which has suffered a series of inexplicable deaths over the last century. As Haruka Kagami, it’s up to you to use your powers of deduction to uncover the truth behind these mysterious events and the ‘Fruit of Youth’ that allegedly lies somewhere in the Shijima Mansion. You’ll explore both the past and the present in four murder cases, set across different eras of Japan. Of course, unravelling this intricate web of secrets won’t be straightforward. You’ll have to have your wits about you as you uncover clues, speak to suspects, and put all the pieces of the puzzle together to form a hypothesis. Not everyone you speak to will be cooperative, so be ready to counter their arguments when you present your case. And don’t worry if your detective skills are a little rusty - the game is designed in such a way that you’ll be able to reach the correct answer if you don’t give up. [Square Enix]",Metascore 71 out of 100
Tales of Xillia 2,,,"TALES OF XILLIA 2 focuses on the events a year after the climactic end of TALES OF XILLIA.  Players assume the role of Ludger Kresnik, a young man with a zest for cooking who lives with his older brother and cat, Rollo.  On his way to his first day at work for a local cafeteria he runs into a young girl named Elle Marta and the two soon become involved in an accident that will change both of their lives forever.",Metascore 71 out of 100
The Longest Road on Earth,"Jul 24, 2018",,"A thoughtful and deeply personal title with stripped-down mechanics. The lack of dialogue or text allows you to create your own narrative through your time with four characters. Each short story will allow players to be swept away by the haunting lyrics of over twenty original, nostalgic songs.",Metascore 71 out of 100
Disney Infinity 2.0 Edition,,,"The starter pack includes: one Disney Infinity: Marvel Super Heroes 2.0 Edition Game, 3 Marvel Super Heroes Figures: Iron Man, Thor and Black Widow, one Disney Infinity Base (2.0 Edition), two Toy Box Game Discs, one Marvel's The Avengers Play Set piece, and one Web Code Card.",Metascore 71 out of 100
Graffiti Kingdom,"Jul 19, 2018",E10+,"(Also known as ""Magic Pengel 2"")  Players take on the role of Prince Pixel, who is on a quest to save his parents and restore Canvas Kingdom back to its normal form after an ancient evil transformed it into a labyrinth full of danger. On his quest, the heroic young Prince finds a companion, 'Box Dog', who aids and accompanies him in his many quests. At the start of his adventure, Prince Pixel finds a magic wand that allows him to bring anything he draws to life. The wand also enables him to temporarily take the shape of any enemy encountered and learn their powers. Prince Pixel can become anything the player draws and transform between three additional different creatures at any given time. As Prince Pixel advances through the game, he gets stronger, tougher, and more skilled. Players also benefit from experience by acquiring more drawing tools and abilities. By the end of the game, players can literally re-create any creature that they've seen in the game with an incredibly easy-to-use drawing program. The game allows the user to draw straight lines as well, so even someone with no drawing skills whatsoever can create just about anything. Players use their imagination to battle their way through levels or creatively solve puzzles. [HOT-B]",Metascore 71 out of 100
Lego Indiana Jones 2: The Adventure Continues,,,"LEGO Indiana Jones 2 presents a tongue-in-cheek take on all four cinematic adventures of pop culture’s most iconic archaeologist, including for the first time ever Indiana Jones and the Kingdom of the Crystal Skull and will give players the ability to create levels of their own! [LucasArts]",Metascore 71 out of 100
Blackwood Crossing,"Nov 5, 2002",E,"Blackwood Crossing is a single-player, first person narrative game. An intriguing tale exploring the relationship of Scarlett and Finn, two siblings who are growing apart. When their paths cross with a ghostly figure, an ordinary train ride evolves into a haunting adventure of love, death and magic.",Metascore 71 out of 100
Boulder Dash-XL,,,"This tricky, action-puzzle and dexterity game made its debut in the early 80s and has continued to fascinate its enormous fan base and new players for decades. Today the game is recognized as one of the best loved retro games in the history of computer and video gaming. Now Boulder Dash is back with a hot new look to take the Xbox Live Arcade platform by storm. The multimillion units selling hit game's core remains unchanged: in a race against time players must collect sparkling diamonds while besting hordes of enemies; and, avoiding numerous traps, and of course, falling boulders!",Metascore 71 out of 100
Nioh 2: The First Samurai,"Nov 17, 2017",T,"The thrilling conclusion to the Nioh 2 story and the third and final DLC expansionThe First Samurai. 

Brace yourselves to take on some of the most challenging missions and formidable foes in the entire series, along with an added difficulty level that will give even the most seasoned veterans a run for their money. 

A flash of light from Sohayamaru whisks the protagonist back to the past as a Visitor for the third and final time. They are brought back to the place their mother spoke of when they were very young, the land of the fabled youth that defeated an oni. Otakemaru's past, the secret of Sohayamaru, and the truth behind the first samurai. All of these mysteries will be revealed, and the protagonist's long journey will finally come to a climactic end.",Metascore 71 out of 100
Hitman - Episode 4: Bangkok,,,"While Agent 47 is quite the jet-setter, he rarely chooses to travel for pleasure. 47 is most certainly all work and no play. And so it is that he finds himself traveling to Thailand to bask in the natural beauty of exotic gardens, explore the Himmapan luxury hotel and resort’s exquisite interiors; and most importantly, take care of business. [Square Enix]",Metascore 71 out of 100
PAIN (2007),"Mar 7, 2017",E10+,"[Downloadable Game]  PAIN boldly tackles a rarely explored area of video-gaming... comedy. The unique mechanic of the game allows the player to load a character into a human-sized, ultra-powerful slingshot, and fire the character into an active, physics-controlled environment, filled with precarious and humorous situations. Players receive points by stringing together painful collisions and inducing chaos in the environment. Multiple playable characters each with a very unique personality and attributes as well as character specific in-flight poses. Plenty of ways to play in both Single and Multiplayer, including modes like Spank the Monkey, Mime Toss, PAIN Bowling, Fun With Explosives, and even more to come in future releases. Relive every cringe-worthy smash and crash with the replay system in PAIN. Use the free camera to get the best angle on your best ouchies. Unique physics model created on Havok powered events, allow for amazing ragdoll animations, while ensuring that duplicating incidents is almost impossible. Keeping gameplay fresh over and over no matter how many times a player is launched into the same environment. Robust online community feature set lets you compete with other players around the world on Global Leaderboards, track your friend's scores, and connect to the PAIN website, where you can participate in polls, get developer updates, and provide feedback to make for a more PAINful experience in future expansions. [SCEA]",Metascore 71 out of 100
A Memoir Blue,,,A song from years ago triggers a flood of memories for champion swimmer Miriam. Embark on an evocative journey through her turbulent childhood and the complicated relationship she shared with her devoted mother.,Metascore 71 out of 100
Marc Ecko's Getting Up: Contents Under Pressure,"Feb 14, 2006",M,"Marc Ecko's Getting Up: Contents Under Pressure is a game that explores the world of a graffiti artist. In a city where freedom of expression is being choked by a tyrannical mayor, you play as Trane, a youth trying to build his reputation from a rookie to the most reputable graffiti artist of all. Marc Ecko's Getting Up: Contents Under Pressure lets you experience the life of a tagger, having to fight in the street and scale obstacles to tag the most desirable locations.",Metascore 71 out of 100
Song of Iron,,,"Behind you lies a trail of broken helms, shattered shields. You hold the axe of a fallen foe. Worn and dented, it will suit it's purpose. What lies ahead is still a mystery, your goal is not. To save your people you must find the Great Temple of the Gods, but do not expect a warm welcome.

Prepare to be met by a world set against you. In Song of Iron, man, monster and nature itself will try to stop you. Fight through it all in this gritty adventure where combat is intense, visceral and dangerous. Use bow, axe and shield to fight back but take care, weapons can be lost, arrows will run out and shields will be broken. With the blood of your ancestors and valor regained along the way you can fight on!

Explore your ancient, and mysterious homeland as you journey through forests, into caves and climb mountains as you seek vengeance. Keep your eyes peeled, danger is all around you and when a fight is too big you may need to find a subtler way to pass foes.",Metascore 71 out of 100
SAND LAND,"Aug 31, 2021",,"Dive into a desert world where both humans and demons suffer from an extreme water shortage - SAND LAND. Meet the Fiend Prince Beelzebub, his chaperone Thief, and the fearless Sheriff Rao, and follow the team on an extraordinary adventure in search of the Legendary Spring hidden in the desert. The end is only the beginning, as beyond this arid ground lies a new realm to explore.

In this action-RPG, players will find a nostalgic and heartwarming world created by Akira Toriyama, where you will become the main character Beelzebub. Learn how to control his powers and lead your company of heroic misfits exploring the legendary world of SAND LAND. Beware of the many dangers that populate it: between bandits, fierce wildlife, and the Royal Army, reaching the spring won’t be easy! Use your tact and imagination to develop tanks and other vehicles that will help you navigate this vast land, using a wide array of part combinations.

VEHICLES FROM BEYOND YOUR IMAGINATION
Unlock vehicles that can be leveled-up with various mechanic parts including weapons, engines, and suspensions. Design and operate a large variety of vehicles including Battle Tanks with powerful cannons, Motorbikes that speed through deserts, and Jump-bots that bounce over rivers to explore every corner of the continent.

BECOME THE SAVIOR THE WORLD NEEDS
Develop your basecamp in the city of Spino, as you build relationships with its inhabitants. As you bring the exiled people of the desert to Spino, watch the town and its capabilities grow. Listen to their requests and wishes, and unlock useful materials and city features.

ADVENTURE BEYOND THE DUNES
Travel through SAND LAND and its canyons, unveil its secrets, overcome all obstacles, and find the entrance to an unknown world.",Metascore 71 out of 100
Toukiden,,,"TOUKIDEN takes Tecmo Koei's expertise in historically themed games to an expansive fantasy world influenced by historical and traditional Japanese elements. Developed by the same studio that created the famed Dynasty Warriors series, this all-new franchise casts players in the role of a demon-fighting Slayer. Starting from the Utakata Village headquarters where they will accept quests, players will venture out to battle monstrous and deadly Oni (demons) before they destroy all of humanity.",Metascore 71 out of 100
LEGO Marvel's Avengers,"Apr 26, 2024",T,"Avengers Assemble!  Experience the first console videogame featuring characters and storylines from the blockbuster film Marvel’s The Avengers and the much anticipated sequel Marvel’s Avengers: Age of Ultron, and more. Play as the most powerful Super Heroes in their quest to save humanity.",Metascore 71 out of 100
The Lost Crown: A Ghost-hunting Adventure,,,"Nigel Danvers is on the run! Two shadowy agents are on his tail, pursuing him across London to the grand train station at Liverpool Street. Nigel suspects that afternoon’s activities may be to blame...Travel with Nigel Danvers to an eerie seaside town on England's east coast. Learn to use advanced techniques used by real paranormal investigators, and uncover an ancient mystery and treasure. But, beware, not all of the towns residents will help in your mission, whether they are alive or dead. Inspiration from the haunting works of Charles Dickens, M.R. James, Arthur Conan Doyle, and E.F. Benson combines with real ghost-hunting gadgets to bring this frightening story to bone-chilling life. Success or failure in locating wandering spirits depends on your skill as an investigator. Placing motion detectors, night vision cameras, and temperature gauges correctly will reveal a location’s haunted past, and expose terrifying apparitions. With nerves of steel, and wits to match, you will soon discover long lost secrets, previously known only to the dead. [Got Game Entertainment]",Metascore 71 out of 100
Phantasy Star Zero,"Feb 11, 2014",T,"Phantasy Star Ø takes place on an alternate Earth 200 years after the Great Blank, a massive war that has reduced the once-prosperous civilization to almost nothing.  The sole surviving Humans have worked hard to exist peacefully and have built thriving Cities. The Humans that adventure past the outskirts of these Cities, called Hunters, explore the vast wilderness and hunt dangerous monsters to keep Cities safe.  Players will take up the role of Hunters and select from three types of races and different classes, as well as gender for a total of 14 customizable character types.  Each character type will play very differently and give players access to a great range of items, armor and weapons.  Featuring over 350 unique weapons, gamers will venture out on Earth, combat dangerous monsters to gain experience and meet new major characters. As players explore further, they will unravel the mystery of the Great Blank and discover a dangerous new force that must be stopped. Featuring both wireless and full Wi-Fi multiplayer options, Phantasy Star Ø takes advantage of the touch screen capabilities of Nintendo DS with the new Visual Chat feature. Gamers can now design their own Visual Chat commands that can be used in multiplayer modes. These Visual Chat commands will be displayed as text bubbles above the user’s character, enabling easy and fun communication when adventuring with friends. [Sega]",Metascore 71 out of 100
Fairy Tail,,,"Fight for Your Guild with Powerful Magical Abilities in FAIRY TAIL. FAIRY TAIL, based on Hiro Mashima's best-selling manga and anime series of the same name, follows the spell-binding plot from ""The Grand Magic Games"" story arc -- enabling gamers to re-live, or experience for the first time, the exciting episodes of this fan-favorite storyline. Not only will they be able to experience stories previously told in the manga and anime, but they will even be able to enjoy never before seen story and quest elements.

Throughout their journey, players will be able to form a party from a selection of over ten iconic characters, including: the fire dragon slayer, Natsu Dragneel; the celestial mage, Lucy Heartfilia; the ice-make mage, Gray Fullbuster; the fairy queen 'Titania', Erza Scarlet; and the young sky dragon slayer, Wendy Marvell. With a wealth of guild members to recruit to their party, players can form their own dream team even including an unlikely group of allies for their own unique adventure.

The fiery and intense magical battles from the series are breathtakingly brought to life in FAIRY TAIL's environment; with a diverse range of magic available for the extraordinary characters to wield. Renowned moves from the series light up the screen, with some characters such as Natsu being able to take advantage of mode changes like utilizing the eye-popping Lightning Fire Dragon Mode. In addition, some guild members will be available to support in battle; including the Fairy Tail Guild Master, Makarov Dreyar, who can be called in to provide powerful aid on the battlefield.

In FAIRY TAIL, completing battles and quests will not only level up party members, it will lead to character bonding scenarios, provide options to upgrade the guild, and eventually raise the 'Guild Rank' enabling players to take on more challenging missions in their quest to become the greatest guild in Fiore.",Metascore 71 out of 100
Aragami,"Jan 26, 2016",E10+,"Aragami is a third person stealth game which casts you as an undead assassin with the power to control the shadows. Teleport to any shadow, become invisible, materialize weapons or even summon a shadow dragon to infiltrate the enemy ranks and dispose of your targets.",Metascore 71 out of 100
Scribblenauts Unmasked: A DC Comics Adventure,,,"Challenge your imagination as you battle the mightiest villains in an exciting and action-filled adventure through GOTHAM CITY, METROPOLIS, ATLANTIS and other iconic locales from the DC Comics universe.  Enjoy endless replayability with new, dynamic puzzles that feature a different mission every time you play. 

Bring out your inner super hero (or villain!) with the all-new Super Hero Creator by crafting completely original objects out of parts of existing DC Comics characters. Then assign unique properties to your creations and use them to solve puzzles, or share them online with friends - which they can use in game or further modify as they like.",Metascore 71 out of 100
Ikachan,"Mar 3, 2008",T,"You wake up in an underwater cave. Near the bottom of an enormous abyss, there's only one way out. Swim in a dark world under attack by frequent earthquakes and famine. This vast undersea kingdom is filled with both dangerous and hamless denizens. Its fearful inhabitants are led by a reluctant fish who has no answer to the impending disasters. Take to the sea and help your new friends flee their home and find a new one. Their fate rests with you, Ikachan. You must help them find a way out before it's too late. Use whatever tools you can and try to escape. Swim, Ikachan, swim!",Metascore 71 out of 100
Melbits World,,,"The cooperative puzzle-platformer game that will equally
charm and challenge your friends and family. Communication and coordination are the key to success in the Melbits mission.",Metascore 71 out of 100
Nike+ Kinect Training,"Nov 10, 2009",E10+,"Whatever your goal, Nike+ Kinect Training promises to help you reach it with a workout program that evolves as you do. What will your moment be?",Metascore 71 out of 100
Pipe Mania,,,"Join alfonso junior and his sister fawcett in a race against time to save their paradise island. Home from pollution and cowboy plumbers. Pipe mania is a frenetically charged puzzle game that will challenge your mental skills to the maximum across intense, fast-paced levels. Beat the puzzles set by the island residents and become a pipe mania puzzle master. 50+ levels across 4 game modes: world, arcade, bonus and the Updated classic pipe mania game. Enhanced visuals & a host of characters to help and hinder attacks & damage. New pieces, new play mechanics, multiple floozes. [Empire Interactive]",Metascore 71 out of 100
Disney's The Haunted Mansion,"Jul 31, 2020",T,"The Disneyland attraction is making a video game appearance in The Haunted Mansion.  In the famous house of wall-to-wall creeps and hot-and-cold running chills, you play Zeke, a boy burdened with the unenviable task of putting 999 evil spirits to rest while trying to keep himself from becoming number 1000.  Inspired by the both the movie and the ride, Haunted Mansion's environments feature unique puzzles, secret passageways, and plenty of areas for you to run, jump, fight, and climb your way through the mansion.  There's no turning back now.",Metascore 71 out of 100
Never Stop Sneakin',,,"Can you believe it? That madman, Amadeus Guildenstern, just traveled through time and kidnapped all the U.S. Presidents! Yes, all of them! Even the bad ones! If you're going to fix history, you'll need the help of the world's most elite stealth operatives: The Department of Sneakin'. Infiltrate the enemy base, avoid their patrols, and hack their systems to gain valuable intel. Build your Sneakin' HQ, and figure out how to stop Guildenstern's time-traveling scheme. Classic tactical sneakin' action, rendered with only the finest polygons. Unlock new characters, weapons, and perks to aid you in your mission. Fight incredible bosses, including the evil Dr. Acula (probably a vampire) and Vice President Helicopter (who is a helicopter). [Nintendo]",Metascore 71 out of 100
Stranger of Sword City,"Oct 4, 2016",M,"STRANGER OF SWORD CITY is the next step in the evolution of the traditional dungeon RPG genre. This title contains the three core elements of attraction for dungeon RPGs: character creation, conquering various dungeons, and dungeon crawling gameplay. Furthermore, our experience and know-how with a large number of titles within the Dungeon RPG genre has allowed us to create enhanced support features that allow our users to enjoy the title to their hearts content. Players can switch between the beautiful and fantastical art style of Yoko Tsukamoto, or the art style of Oxijiyen, an artist renowned for their cute character graphics, for the NPC illustrations in game.",Metascore 71 out of 100
God Eater 3,,,"Set in a post-apocalyptic world, it’s up to your special team of God Eaters to destroy god-like monsters devastating the world. With an epic story, unique characters, and all new God Arcs and Aragami, the latest evolution in ACTION is here.",Metascore 71 out of 100
One Piece: Unlimited World Red,"Sep 24, 2013",E10+,"Set sail on a gripping adventure in the New World with the beloved Straw Hat Crew in ONE PIECE Unlimited World Red. Dive into a wayfaring journey with fun-filled escapades, action-packed battles and powerful comrades in a whole new never-before- seen scenario. Play as members of the Straw Hat crew and progress through the episodic storyline with encounters against famous bosses like Rob Lucci, Caesar Clown, and more. Master a large variation of flashy combos and test your reflexes by pressing the right button at the right time to counter, dodge or otherwise interact with enemies. Enjoy endless playability by exploring the central town and taking on quests to assist the townfolk and gain more rewards and items.",Metascore 71 out of 100
Eiyuden Chronicle: Rising,,,"Eiyuden Chronicle: Rising combines a thrilling adventure through ancient ruins with the tale of one town’s rise from the ashes. Drawn by lenses and other treasure in the nearby Runebarrows, our heroes learn that the town is struggling to rebuild after an earthquake and decide to help. Along the way, they’ll resolve disputes between eager adventurers and wary locals who don’t think the Barrows should be disturbed. And they’ll learn more about each other’s reasons for seeking treasure, deepening their bonds in the process. As you will learn, these Runebarrows hide a great secret that has fateful implications for one of the characters. What begins as a simple treasure hunt turns into a dark conspiracy that will shake the world and plant seeds that carry over into the main story of Eiyuden Chronicle: Hundred Heroes. The game will introduce a portion of Eiyuden Chronicle’s cast of characters in an original story with thrilling action and engaging town-upgrading elements.",Metascore 71 out of 100
Sebastien Loeb Rally Evo,"Jan 31, 2013",E,Sebastien Loeb Rally Evo is an off-road racing game experience that teams players with the greatest racer in Rally history: Sebastien Loeb.,Metascore 71 out of 100
Cyberdimension Neptunia: 4 Goddesses Online,,,"In this hack 'n' slash adventure co-developed with Tamsoft and Compile Heart, everyone's favorite four Goddesses enter an online fantasy game world inspired by...themselves! Joined by the CPU Candidates, you'll fight in 4-person real-time brawls, unleash devastating Awakening Skills, customize with tons of cosmetic accessories, and even play online with others!",Metascore 71 out of 100
SILT,"Feb 5, 2019",E,"Silt is a puzzle-adventure set deep within a harrowing ocean abyss, where you play as a lone diver searching the deep and exploring dangerous waters to uncover long-forgotten mysteries. But the diver has a secret. Harnessing an unusual power, you’ll be able to possess sea creatures that roam the ocean void, discovering new creatures and using their unique abilities to solve puzzles, traverse the environment, and make your way deeper into the darkness.",Metascore 71 out of 100
Dark Souls III: Ashes of Ariandel,,,"Journey to the snowy world of Ariandel and encounter new areas, bosses, enemies, weapons, armor set, magic spells and more. Will you accept the challenge and embrace the darkness once more?",Metascore 71 out of 100
Stacking: The Lost Hobo King,"Apr 6, 2011",E10+,Stacking: The Lost Hobo King is the first DLC for Stacking.,Metascore 71 out of 100
Morbid: The Seven Acolytes,,,Morbid: The Seven Acolytes is a Horrorpunk Action RPG filled with Lovecraftian horrors and Cronenbergian gore.,Metascore 71 out of 100
Escape Plan (2012),"Dec 3, 2020",,"From the producers behind Fat Princess, comes an original new experience -- Escape Plan. Escape Plan takes advantage of the Vita system's multi-touch display, rear touch panel, swipe interfaces and motion sensor, putting the fate of the hapless heroes in the palm of your hand. Players can swipe, squeeze, poke and slap Lil and Laarg to manipulate the characters and interact with the diverse environments. Only you can help them survive each deadly room before their captor and nemesis, Bakuki, recycles them and turns them into his minions... or sheep. [Sony]",Metascore 71 out of 100
