Title,Date,Rating,Description,Score,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Tom Clancy's Splinter Cell,"Nov 9, 2022",M,"Infiltrate terrorists' positions, acquire critical intelligence by any means necessary, execute with extreme prejudice, and exit without a trace.  In Tom Clancy's Splinter Cell, you are Sam Fisher, a highly trained secret operative of the NSA's secret arm: Third Echelon.  Suit up with the latest classified field operative gear and weapons as you travel through diverse mission objectives.  The world's future is in your hands, as cyber terrorism and international tensions are about to explode into WWIII.",Metascore 93 out of 100,7011,Tom Clancy's Splinter Cell,GC,2003.0,Action,Ubisoft,0.18,0.05,0.0,0.01,0.23
Valhalla Knights 2,"Oct 13, 2009",E10+,"Sequel to the Valhalla Knights, Valhalla Knights 2 promises to give fans of the original game a vast and expansive world to explore, and the customization tools to create the ultimate battle party. This action RPG (Role Playing Game) sequel adds new races, job classes, weapons, magic spells, foes, armor and more to the Valhalla Knights universe, within an engrossing story arc. Controlling and choosing character aspects such as skills, race, and appearance, players can engage in real-time 6 on 6 battles, reliant on tactical combat strategies to achieve success. Supporting 2 player ad hoc network play, gamers can engage in Co-op and Versus modes with friends, or simply trade items and weapons. [XSEED]",Metascore 50 out of 100,7108,Valhalla Knights 2,PSP,2008.0,Role-Playing,Rising Star Games,0.09,0.0,0.12,0.01,0.23
LEGO Marvel's Avengers,"Apr 26, 2024",T,"Avengers Assemble!  Experience the first console videogame featuring characters and storylines from the blockbuster film Marvel’s The Avengers and the much anticipated sequel Marvel’s Avengers: Age of Ultron, and more. Play as the most powerful Super Heroes in their quest to save humanity.",Metascore 71 out of 100,6974,LEGO Marvel's Avengers,PSV,2016.0,Action,Warner Bros. Interactive Entertainment,0.07,0.11,0.0,0.05,0.23
LEGO Marvel's Avengers,"Apr 26, 2024",T,"Avengers Assemble!  Experience the first console videogame featuring characters and storylines from the blockbuster film Marvel’s The Avengers and the much anticipated sequel Marvel’s Avengers: Age of Ultron, and more. Play as the most powerful Super Heroes in their quest to save humanity.",Metascore 71 out of 100,6957,LEGO Marvel's Avengers,WiiU,2016.0,Action,Warner Bros. Interactive Entertainment,0.12,0.09,0.0,0.02,0.23
Senran Kagura: Estival Versus,"Oct 28, 2014",M,"The high-flying ninja girls of SENRAN KAGURA return, this time with more moves, more playable characters, more story and attitude, and more destruction online with matches that can support up to 10 players (PS4 version only; PS Vita supports up to 4 players). All the previous shinobi girls return with a host of upgraded moves to master, and new playable characters offer more challenges to conquer, along with a story that's equal parts sexy and shocking, serious and scandalous, busty and brawling.",Metascore 67 out of 100,7126,Senran Kagura: Estival Versus,PSV,2015.0,Action,Marvelous Interactive,0.06,0.05,0.09,0.03,0.23
Star Wars: The Force Unleashed II,"Aug 31, 2004",M,"With Star Wars: The Force Unleashed II, the epic story continues as players once again assume the role of the devastatingly powerful Starkiller - Darth Vader's secret apprentice set during the largely unexplored era between Star Wars: Episode III Revenge of the Sith and Star Wars: Episode IV A New Hope.",Metascore 61 out of 100,6975,Star Wars: The Force Unleashed II,DS,2010.0,Action,LucasArts,0.18,0.04,0.0,0.02,0.23
The Polar Express,"Oct 25, 2011",M,"In this inspiring adventure based on The Polar Express movie, players will take an extraordinary ride through eight exciting chapters. A mysterious Conductor shepherds players aboard the train, and onto a journey to meet Santa Claus at the North Pole. Along they way, they will meet memorable characters from the film including the Girl Know-it-All, Lonely Boy, the Hobo, Smokey & Steamer and the Elves. Gameplay rewards those who believe. All aboard! Experience mini-games, solve puzzles and search for lost presents. Enjoy special EyeToy games. Explore massive 3-D environments including the North Pole and The Polar Express. [THQ]",Metascore 39 out of 100,7116,The Polar Express,PS2,2004.0,Adventure,THQ,0.11,0.09,0.0,0.03,0.23
Rune Factory: Tides of Destiny,"Oct 7, 2011",E10+,"Featuring a vast region to explore, a wonderful cast of characters, and a huge variety of activities to enjoy, Rune Factory: Tides of Destiny is sure to make waves! Aden and Sonja, two lifelong friends, live a tranquil life on Fenith Island until they're struck by a mysterious curse: they awaken to find both of their souls are now trapped in the same body! On top of this unusual calamity, the Fenith they knew is gone, replaced by a strange island populated with unfamiliar faces. Only by exploring this new world will they be able to solve the mystery of this curse and save their beloved Island. During the course of their journey, Aden and Sonja will be aided by a colorful cast of characters, as well as take command of the towering golem Ymir. Using their newfound giant friend, they'll cross vast seas, discover hidden islands and dungeons packed with riches, and battle fearsome monsters of the deep!",Metascore 55 out of 100,7180,Rune Factory: Tides of Destiny,PS3,2011.0,Role-Playing,Marvelous Interactive,0.14,0.0,0.07,0.01,0.22
Tales of Graces,"Jul 30, 2020",M,"In this newest title, the feelings such as &quot;preserving one's faith&quot;, &quot;saving their precious ones&quot; and the destiny of raising the storm between three countries which form the setting, are portrayed. The PS3 version shows the story more in depth having many new elements including a &quot;Lineage to the Future Episode&quot; where a new tale after the main story is told.",Metascore 77 out of 100,7230,Tales of Graces,Wii,2009.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22
KORG DS-10 Synthesizer,"May 22, 2007",T,"Designed after the famous KORG MS-10 music synthesizer, KORG DS-10 is a music-creation program for professional and aspiring musicians alike.  The sound sources in the KORG DS-10 come from KORG, one of the world’s top musical instrument producers, and no effort was spared in the replication of creating high-quality sounds. The Nintendo DS’s touch-screen controls are utilized to the fullest to provide an authentic feel and operability across a dual-screen layout that is unsurpassed in portable music creation.  A 6-track/16-step sequencer enables precise control and provides a wide range of musical possibilities, and up to eight units can be linked via wireless connection to play together or to exchange sounds and songs. [XSEED]",Metascore 82 out of 100,7206,KORG DS-10 Synthesizer,DS,2008.0,Misc,AQ Interactive,0.2,0.01,0.0,0.02,0.22
LEGO The Lord of the Rings,"Feb 2, 2021",T,LEGO The Lord of the Rings retells the story of the Lord of the Rings Trilogy through the visuals of the LEGO universe.,Metascore 80 out of 100,7201,LEGO The Lord of the Rings,PC,2012.0,Action,Warner Bros. Interactive Entertainment,0.07,0.13,0.0,0.03,0.22
Castlevania: Lords of Shadow 2,"May 27, 2014",E,"In Castlevania: Lords of Shadow, the origin of Dracula and his legendary connection with the Belmonts was revealed. In Castlevania: Lords of Shadow 2, fans can expect thrilling new twists and challenges. In this shocking conclusion to the Lords of Shadow saga, Dracula returns once again, weakened and yearning for release from his immortal bonds. Facing a new and powerful threat, the vampire lord must reacquire his old powers – and only his castle holds the key. However, the famed Belmont clan also seek his ultimate destruction.",Metascore 63 out of 100,7204,Castlevania: Lords of Shadow 2,PS3,2014.0,Action,Konami Digital Entertainment,0.03,0.13,0.02,0.04,0.22
Dark Souls II,"Feb 6, 2018",T,"Prepare to die... Again. Dare yourself to engage against intense gameplay in a vast world powered by a new engine. Immerse yourself into mind-bending environments filled with new twisted monsters and deadly bosses. A vast array of threats will prey on human senses & phobias - auditory hallucinations, vertigo, acrophobia, etc. More intricate customization options provide weapons and armor tailoring to player style. [Namco Bandai Games]",Metascore 91 out of 100,7163,Dark Souls II,XOne,2015.0,Role-Playing,Namco Bandai Games,0.13,0.07,0.0,0.02,0.22
LEGO Harry Potter: Years 5-7,"Apr 16, 2020",E,"Based on the last three Harry Potter books and final four films, LEGO Harry Potter: Years 5-7 takes players through Harry Potter’s heroic adventures in the Muggle and wizarding worlds. From Privet Drive in Little Whinging to Diagon Alley, Hogsmeade and Hogwarts – plus new locations including Grimmauld Place, the Ministry of Magic, and Godric’s Hollow – players will encounter new faces, new challenges and new magic, preparing them for the ultimate face-off against Lord Voldemort.",Metascore 77 out of 100,7215,LEGO Harry Potter: Years 5-7,PC,,Action,Warner Bros. Interactive Entertainment,0.05,0.14,0.0,0.03,0.22
Ragnarok DS,"Feb 25, 2008",T,"Players step into the roll of young Ales as he steps into the world in search of adventure with the goal of eventually starting his own Guild. It is not long before this young rookie adventurer is propelled down a path toward danger, excitement, and a heroine in distress. Throughout his travels Ales encounters individuals who help in his quest for fortune and fame, as these friends will become invaluable new allies as they join his party. [XSEED Games]",Metascore 53 out of 100,7173,Ragnarok DS,DS,2008.0,Role-Playing,GungHo,0.1,0.0,0.11,0.01,0.22
Justice League Heroes,"Jun 20, 2006",E,"Justice League Heroes is an action adventure game with role-playing customization featuring Superman, Batman, Green Lantern, The Flash, Wonder Woman, Martian Manhunter, Zatanna and other unlockable Justice League super heroes. Each hero possesses an array of character-specific, upgradeable superpowers resulting in unique controls and fighting-styles. Engaging in one-to-two player cooperative combat, gamers are be able to customize and master these superpowers as they travel through interactive and destructible environments spanning the farthest corners of the universe. [Eidos Interactive]",Metascore 68 out of 100,7138,Justice League Heroes,PSP,2006.0,Role-Playing,Eidos Interactive,0.2,0.01,0.0,0.02,0.22
Marvel Super Hero Squad: The Infinity Gauntlet,"Jun 24, 2008",E,"Marvel Super Hero Squad: The Infinity Gauntlet continues the excitement of the original Marvel Super Hero Squad with an all-new storyline that follows Season 2 of the hit animated TV series as shown on Cartoon Network.  Players can &quot;Hero Up&quot; with friends in cooperative play master the unique Factor Power of each of the Marvel heroes in three game modes: Story Mode, Freeplay Mode and Challenge Mode.  The game also boasts a brand new puzzle component, in which players will need to utilize the characters' unique abilities to move or destroy objects, traverse through certain environments, and summon specific strengths to overcome obstacles.  With new adventures, tricky puzzles, an expanded selection of Marvel Super Hero Squad members to unlock and play as, Marvel Super Hero Squad: The Infinity Gauntlet is set to thrill gamers from here to Super Hero City.",Metascore 55 out of 100,7154,Marvel Super Hero Squad: The Infinity Gauntlet,DS,2010.0,Action,THQ,0.17,0.03,0.0,0.02,0.22
Prison Break: The Conspiracy,"Nov 19, 2013",E10+,"Prison Break - The Conspiracy takes you inside the Prison Break world like never before. You are Tom Paxton, a Company agent sent inside Fox River Penitentiary to observe and report on a prisoner named Michael Scofield... What you will find will change your Prison Break experience forever. [Deep Silver]",Metascore 40 out of 100,7367,Prison Break: The Conspiracy,X360,2010.0,Action,Deep Silver,0.07,0.12,0.0,0.02,0.21
Heroes of Ruin,"Aug 25, 2016",E10+,"HEROES OF RUIN uses StreetPass to create an inventive in-game 'Traders' Network' where players can buy and sell rare and powerful items picked up in battle. With an ever-changing inventory updated from each player passed in public, character strengths and abilities can be greatly enhanced by accessing items from other players' games. Outside of the game, HEROES OF RUIN makes use of SpotPass to reward players with rare items or unique challenges through local Wi-Fi hotspots. The official HEROES OF RUIN community website will reward players further with daily challenges and quests available to complete in-game. With social media functionality, the site will also give players a platform to meet other gamers, swap ideas and items, and team up in-game.",Metascore 69 out of 100,7419,Heroes of Ruin,3DS,2012.0,Role-Playing,Nintendo,0.13,0.07,0.0,0.02,0.21
Rune Factory: Tides of Destiny,"Oct 7, 2011",E10+,"Featuring a vast region to explore, a wonderful cast of characters, and a huge variety of activities to enjoy, Rune Factory: Tides of Destiny is sure to make waves! Aden and Sonja, two lifelong friends, live a tranquil life on Fenith Island until they're struck by a mysterious curse: they awaken to find both of their souls are now trapped in the same body! On top of this unusual calamity, the Fenith they knew is gone, replaced by a strange island populated with unfamiliar faces. Only by exploring this new world will they be able to solve the mystery of this curse and save their beloved Island. During the course of their journey, Aden and Sonja will be aided by a colorful cast of characters, as well as take command of the towering golem Ymir. Using their newfound giant friend, they'll cross vast seas, discover hidden islands and dungeons packed with riches, and battle fearsome monsters of the deep!",Metascore 55 out of 100,7476,Rune Factory: Tides of Destiny,Wii,2011.0,Role-Playing,Marvelous Interactive,0.14,0.0,0.06,0.01,0.21
Tenchu: Return From Darkness,"Jun 29, 2016",T,"As the violent rebellion and civil strife of 16th-century Japan appears to be drawing to a close, the mysterious Tenrai has begun a quest to conquer the country by amassing an army of ninjas and lords of darkness.  Your master, Lord Gohda, has called upon you, a cunning stealth assassin, to stop Tenrai and his disciples before all is lost.  The latest addition to the Tenchu saga features online stealth ninja action on Xbox Live, new weapons and tools, multiple game endings, detailed levels, and new combo attacks.",Metascore 70 out of 100,7365,Tenchu: Return From Darkness,XB,2004.0,Action,Activision,0.16,0.05,0.0,0.01,0.21
Solatorobo: Red the Hunter,"Sep 27, 2011",E10+,"Set out on an adventure amid floating islands and witness a world brought to life by renowned designers and animators. Battle robot enemies, build your strength and undertake quests as you journey through the Shepherd Republic and meet fascinating characters. Take control of Red as hes drawn into an epic tale and becomes responsible for the fate of the world. Compete with friends who own Solatorobo in all-action races round circuits floating in the sky.",Metascore 76 out of 100,7441,Solatorobo: Red the Hunter,DS,2010.0,Role-Playing,Nintendo,0.08,0.04,0.07,0.01,0.21
LEGO The Hobbit,"Oct 25, 2000",E,"From the makers of LEGO The Lord of the Rings, comes LEGO The Hobbit, inspired by the first two films in The Hobbit Trilogy: The Hobbit: An Unexpected Journey and The Hobbit: Desolation of Smaug as well as the collection  of LEGO The Hobbit constructions sets.  The interactive game of LEGO The Hobbit allows gamers to play along with their favorite scenes from the films, and follows the Hobbit Bilbo Baggins as he is recruited by the Wizard Gandalf to aid Thorin Oakenshield and his Company of Dwarves. Bilbo leaves the comforts of the Shire on a journey through Middle-earth to help the Dwarves reclaim their lost Kingdom of Erebor within the Lonely Mountain. Along the way, he is introduced to ravenous Trolls, dangerous Orcs and, of course, Gollum and his precious Ring.  Players utilize and combine the Dwarves’ unique abilities to solve a diverse array of Quests.",Metascore 72 out of 100,7454,LEGO The Hobbit,PSV,2014.0,Action,Warner Bros. Interactive Entertainment,0.03,0.13,0.0,0.05,0.21
Spectrobes: Origins,"Aug 18, 2009",E10+,"Spectrobes: Origins brings the successful series to Wii for the first time with a new story that reveals secrets from the past through flashbacks of significant events. In Spectrobes: Origins, players use the unique Wii controls to explore vast worlds, excavate three-dimensional fossils and unravel an engaging story while discovering the key to preventing a galactic threat. While immersed in the universe as never before, players fight enemies by controlling planetary patrol officer Rallen and commanding a Spectrobe creature at his side in large-scale, real-time battles. [Disney Interactive]",Metascore 71 out of 100,7558,Spectrobes: Origins,Wii,2009.0,Role-Playing,Disney Interactive Studios,0.16,0.02,0.0,0.02,0.2
Phantasy Star Online,"Oct 6, 2009",M,"Pioneer 2 finally completed it's long voyage to the new home world. But as the ship entered orbit, an enormous explosion shook the entire planet, and all contact with the thousands of people already there was lost. Now, in the first worldwide online console RPG, players from around the globe must unite to discover what has happened. Phantasy Star Online continues in the tradition of one of the most popular series of all time, and becomes a revolutionary and truly global gaming experience in an online, persistent world.",Metascore 89 out of 100,7528,Phantasy Star Online,DC,2000.0,Role-Playing,Sega,0.0,0.0,0.2,0.0,0.2
Baldur's Gate: Dark Alliance,"Jan 20, 2021",M,"A darkness is gathering in the sprawling port town of Baldur's Gate. Members of the deteriorating city have been found dead, people fear leaving home, and rumors abound of a thieves' guild civil war brewing beneath the streets of the city. The player, down on his luck and carrying little other than a sword strapped to his back, comes fresh to the town and becomes all that stands in the way of the greatest threat ever to strike Baldur's Gate and the Sword Coast.  [Interplay]",Metascore 87 out of 100,7716,Baldur's Gate: Dark Alliance,XB,2002.0,Role-Playing,Virgin Interactive,0.15,0.04,0.0,0.01,0.2
Harry Potter and the Goblet of Fire,"Nov 10, 2008",E,"In Harry Potter and the Goblet of Fire, Harry is mysteriously selected as the fourth competitor in the dangerous Triwizard Tournament. Each contestant in this international competition must confront a fire-breathing dragon, rescue friends from the icy depths of the Black Lake, and navigate the twisting mysteries of a vast, dangerous maze. Players experience all the thrills of the movie - from the Quidditch World Cup campsite to a heart-stopping duel with Lord Voldemort himself. Harry, Ron, and Hermione are all playable characters, modeled after their big-screen counterparts. In this game, an all-new spell-casting system allows players to feel the magic for the first time as the controller shakes and reacts with every flick of the wand. Players can also team up with friends in co-operative play to combine their magic and produce more powerful spells than ever before. [Electronic Arts]",Metascore 68 out of 100,7682,Harry Potter and the Goblet of Fire,PSP,2005.0,Action,Electronic Arts,0.17,0.01,0.0,0.02,0.2
South Park: The Stick of Truth,"Feb 2, 2021",M,"South Park: The Game is an epic role-playing adventure that will allow the user to befriend Stan, Kyle, Cartman and Kenny and explore the quiet little mountain town like never before. 

From the perilous battlefields of the 4th-grade playground, a young hero will rise, destined to be South Park’s savior. From the creators of South Park, Trey Parker and Matt Stone, comes an epic quest to become… cool. Introducing South Park: The Stick of Truth. For a thousand years, the battle has been waged. The sole reason humans and elves are locked in a neverending war: The Stick of Truth. But the tides of war are soon to change as word of a new kid spreads throughout the land, his coming foretold by the stars. As the moving vans of prophecy drive away, your adventure begins. Arm yourself with weapons of legend to defeat crabpeople, underpants gnomes, hippies, and other forces of evil. Discover the lost Stick of Truth and earn your place at the side of Stan, Kyle, Cartman, and Kenny as their new friend. Succeed, and you shall be South Park’s savior, cementing your social status in South Park Elementary. Fail, and you will forever be known… as a loser. [Ubisoft]",Metascore 85 out of 100,7684,South Park: The Stick of Truth,PC,2014.0,Role-Playing,Ubisoft,0.07,0.1,0.0,0.02,0.2
Two Worlds II,"Apr 6, 2021",T,"Taking place shortly after the events portrayed in the first Two Worlds, The Temptation takes place in Eastern Antaloor, in the regions surrounding Oswaroh and the Drak’ar Desert. Featuring as much content as the original, Two Worlds: The Temptation features more intricate missions, improved voice-overs and animations, retooled horseback riding, completely revamped combat, and a new game engine that delivers improved visuals. [SouthPeak Interactive]",Metascore 67 out of 100,7523,Two Worlds II,PC,2011.0,Role-Playing,Unknown,0.09,0.09,0.0,0.03,0.2
The Witch and the Hundred Knight,"Mar 29, 2022",T,"Two powerful witches have been battling one another for over a hundred years. Now, the Swamp Witch has unleashed the legendary Dark Knights, and seeks to destroy the Forest Witch once and for all!",Metascore 53 out of 100,7638,The Witch and the Hundred Knight,PS3,2013.0,Role-Playing,Nippon Ichi Software,0.06,0.02,0.1,0.01,0.2
Captain America: Super Soldier,"Apr 14, 2009",E10+,"Captain America: Super Soldier combines a highly athletic combat system with fluid platforming and a highly tuned suite of shield attacks, as Cap explores a massive castle turned military installation. His shield can be employed in numerous ways: taking out multiple enemies at once, deflecting incoming fire back at enemies, solving puzzles, and scaling walls. Players will be able to launch shield-first into the fray with the superior force of the world's first Super-Soldier at their fingertips and they'll need every bit of that strength to overcome a castle that's both an acrobatic playground for the Captain's physical prowess and a house of mystery with enemies and danger at every turn.",Metascore 60 out of 100,7574,Captain America: Super Soldier,PS3,2011.0,Action,Sega,0.1,0.07,0.0,0.03,0.2
God Eater Resurrection,"Oct 8, 2019",E,"Confronting an enemy completely immune to conventional weapons, modern society is driven to the point of extinction. One last hope remains. Following the Fenrir Organization’s development of God Arcs, their wielders are organized into an elite force of God Eaters. As the newest recruit to Fenrir’s Far East Branch, discover that in times of adversity, humans will go to any length to survive in God Eater Resurrection. [Playstation.com]",Metascore 70 out of 100,7901,God Eater Resurrection,PSV,2015.0,Action,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19
SoulCalibur Legends,"Apr 6, 2005",T,"In Soulcalibur Legends, follow the 16th century exploits of Siegfried and Soulcalibur characters, new and old as they find themselves on a quest for ultimate power in order to save an empire from destruction. Using the Wii Remote and Nunchuk as their weapons of choice, players perform moves and combos using orchestrated slashes and movements. Sword fighting capabilities are pushed to the limit as gamers unleash special attacks to crush scores of enemies and large bosses. Earn honored titles such as Knight or Soldier as you master special attacks acquired throughout the adventure while battling through diverse stages and environments. [Namco Bandai Games]",Metascore 52 out of 100,7928,SoulCalibur Legends,Wii,2007.0,Action,Namco Bandai Games,0.16,0.01,0.0,0.01,0.19
Tenchu: Fatal Shadows,"Aug 7, 2007",E,"(Also known as ""Tenchu Kurenai"" or ""Tenchu Crimson"")  Set in historical Japan, Tenchu: Fatal Shadows features two playable ninja warriors - returning heroine Ayame and newcomer Rin. This installment of the fan-favorite franchise offers a tight balance of melee combat and shadow stalking, and its levels are structured to avoid the frustrating trial-and-error patterns that are all too familiar in the stealth genre. The title is fast paced, tense, and balanced for both stealth veterans and novices, offering multiple difficulty modes. Significant visual upgrades have been made from prior installments, and a slew of new move sets are on hand to deliver more realistic ninja experience, including the ability to hide bodies and breathe underwater while sneaking. [Sega]",Metascore 58 out of 100,7902,Tenchu: Fatal Shadows,PS2,2004.0,Action,Sega,0.09,0.07,0.0,0.02,0.19
Phantasy Star Universe,"Sep 17, 2021",M,"Phantasy Star Universe offers two complete RPG experiences - a single-player action adventure spanning multiple planets, and a robust online multi-player component. The game offers long-time fans the epic experience they have been clamoring for. The solo adventure features more than 40 hours of gameplay, an emotionally engaging story, traditional cut scenes, and strong character development. The title's hero is Ethan Waber, a 17-year old cadet intent on saving his sister, who is living on a planet under siege by mysterious life forces called THE SEED. In Online Mode, players are given the opportunity to create their own characters from a range of races, and they get to explore all three planets in the Grarl solar system. Fans can travel with a squad of other adventurers, enter urban sprawls teeming with hundreds of other players, and build their avatars into powerful warriors. [Sega]",Metascore 64 out of 100,7899,Phantasy Star Universe,PS2,2006.0,Role-Playing,Sega,0.0,0.0,0.19,0.0,0.19
Sudeki,"Dec 1, 2003",E,"A sultry wizardress, a soaring gunslinger, a powerful swordsman, and a dark huntress are about to be hurtled into a dark adventure.  Set in a world ripped apart by deceit, the heroes of Sudeki journey down a twisting path of betrayal, gravity-defying combat, and unbelievable magic.  Sudeki pushes the limits of what you think an RPG can be, with bigger worlds, more powerful heroes, and sexier heroines--all wrapped up in Hong Kong-style cinematic combat.",Metascore 72 out of 100,7856,Sudeki,XB,2004.0,Role-Playing,Microsoft Game Studios,0.14,0.04,0.0,0.01,0.19
Manhunt,"Apr 7, 2021",E,"They just killed Cash. Now, they want to kill him again. America is full of run down, broken rust-belt towns where nobody cares and anything goes. In Carcer City, nothing matters anymore and all that's left are cheap thrills. The ultimate rush is the power to grant life and take it away, for sport. This time James Earl Cash, you are the sport. They gave you your life back. Now, they are going to hunt you down. You awake to the sound of your own panicked breath. You must run, hide and fight to survive. If you can stay alive long enough, you may find out who did this to you. This is a brutal blood sport. [Rockstar]",Metascore 76 out of 100,7774,Manhunt,XB,2004.0,Action,Take-Two Interactive,0.14,0.04,0.0,0.01,0.19
The Polar Express,"Oct 25, 2011",M,"In this inspiring adventure based on The Polar Express movie, players will take an extraordinary ride through eight exciting chapters. A mysterious Conductor shepherds players aboard the train, and onto a journey to meet Santa Claus at the North Pole. Along they way, they will meet memorable characters from the film including the Girl Know-it-All, Lonely Boy, the Hobo, Smokey & Steamer and the Elves. Gameplay rewards those who believe. All aboard! Experience mini-games, solve puzzles and search for lost presents. Enjoy special EyeToy games. Explore massive 3-D environments including the North Pole and The Polar Express. [THQ]",Metascore 39 out of 100,7848,The Polar Express,GBA,2004.0,Adventure,THQ,0.14,0.05,0.0,0.0,0.19
The Spiderwick Chronicles,"Aug 27, 2020",T,"The Spiderwick Chronicles is a video game based on the theatrical release by Paramount Pictures and Nickelodeon Films. The game recreates the fantastical world of the Spiderwick film and best-selling book series. The Spiderwick Chronicles video game recreates the world of Jared, Simon and Mallory Grace, putting gamers in their shoes as they discover a hidden world of fantastical creatures - sprites, ogres, goblins, brownies and more. [Sierra Entertainment]",Metascore 59 out of 100,7761,The Spiderwick Chronicles,Wii,2008.0,Action,Vivendi Games,0.17,0.01,0.0,0.01,0.19
Charlie and the Chocolate Factory,"Nov 8, 2010",M,"Step inside the magical world of Willy Wonka's famous chocolate factory. Based on the feature film directed by Tim Burton and the classic Roald Dahl book, the game allows players to explore deep inside the factory and play the beloved story as Charlie Bucket. Find a Golden Ticket and, along with four other children, win a personal tour of Willy Wonka's factory guided by the notorious and reclusive candy-maker himself. Embark on a fantastic adventure exploring the many extraordinary environments of the factory, including some from the book that do not appear in the film. Discover what happens after the other children, greed-driven and unrestrained, wreak havoc throughout the factory. Then save the chocolate factory from their destruction by solving mystifying puzzles and using inventive candy powers. By helping the Oompa-Loompas and restoring order to the factory, Charlie can earn the respect of Willy Wonka and win an unexpected prize. Acquire incredible abilities by using fantastic new candies in order to save the factory. Stop the ""rotten"" children from causing chaos and destruction throughout the candy factory. Repair huge, bizarre candy-making machines by solving puzzles and enlisting the help of the Oompa-Loompas. Explore numerous rooms and environments inside Willy Wonka's chocolate factory. [Global Star]",Metascore 35 out of 100,8161,Charlie and the Chocolate Factory,GC,2005.0,Adventure,Global Star,0.14,0.04,0.0,0.0,0.18
Marvel Super Hero Squad: The Infinity Gauntlet,"Jun 24, 2008",E,"Marvel Super Hero Squad: The Infinity Gauntlet continues the excitement of the original Marvel Super Hero Squad with an all-new storyline that follows Season 2 of the hit animated TV series as shown on Cartoon Network.  Players can &quot;Hero Up&quot; with friends in cooperative play master the unique Factor Power of each of the Marvel heroes in three game modes: Story Mode, Freeplay Mode and Challenge Mode.  The game also boasts a brand new puzzle component, in which players will need to utilize the characters' unique abilities to move or destroy objects, traverse through certain environments, and summon specific strengths to overcome obstacles.  With new adventures, tricky puzzles, an expanded selection of Marvel Super Hero Squad members to unlock and play as, Marvel Super Hero Squad: The Infinity Gauntlet is set to thrill gamers from here to Super Hero City.",Metascore 55 out of 100,8202,Marvel Super Hero Squad: The Infinity Gauntlet,PS3,2010.0,Action,THQ,0.12,0.03,0.0,0.02,0.18
Spider-Man: Friend or Foe,"Aug 12, 2008",T,"Spider-Man: Friend or Foe challenges players to defeat and then join forces with notorious movie nemeses including Doc Ock, Green Goblin, Venom and Sandman, and other classic Spider-Man characters. Players embark on a global quest to overcome an evil threat, by controlling Spider-Man and one of numerous Super Hero or Super Villain sidekicks, as they master unique fighting moves and styles while switching between characters to execute team combos and defeat foes. Spider-Man: Friend or Foe features a unique co-op mode in which a friend can join the game at any time and take control of Spidey’s sidekick as they battle through the game side-by-side and replay favorite levels. [Activision]",Metascore 60 out of 100,8092,Spider-Man: Friend or Foe,PSP,2007.0,Action,Activision,0.16,0.0,0.0,0.01,0.18
Captain America: Super Soldier,"Apr 14, 2009",E10+,"Captain America: Super Soldier combines a highly athletic combat system with fluid platforming and a highly tuned suite of shield attacks, as Cap explores a massive castle turned military installation. His shield can be employed in numerous ways: taking out multiple enemies at once, deflecting incoming fire back at enemies, solving puzzles, and scaling walls. Players will be able to launch shield-first into the fray with the superior force of the world's first Super-Soldier at their fingertips and they'll need every bit of that strength to overcome a castle that's both an acrobatic playground for the Captain's physical prowess and a house of mystery with enemies and danger at every turn.",Metascore 60 out of 100,8182,Captain America: Super Soldier,X360,2011.0,Action,Sega,0.11,0.05,0.0,0.01,0.18
Disney's Tarzan Untamed,"Jul 12, 2006",E,"Tarzan?s peaceful world falls under siege as a mad Victorian scientist and vicious poachers descend upon the jungle to brutally capture his animal allies. As the primal action hero Tarzan, you must rely on your raw animal instinct and extreme action skills to maneuver through the dense jungle and rescue your animal friends. [Ubi Soft]",Metascore 61 out of 100,8151,Disney's Tarzan Untamed,GC,2001.0,Platform,Ubisoft,0.14,0.04,0.0,0.0,0.18
Dark Souls II,"Feb 6, 2018",T,"Prepare to die... Again. Dare yourself to engage against intense gameplay in a vast world powered by a new engine. Immerse yourself into mind-bending environments filled with new twisted monsters and deadly bosses. A vast array of threats will prey on human senses & phobias - auditory hallucinations, vertigo, acrophobia, etc. More intricate customization options provide weapons and armor tailoring to player style. [Namco Bandai Games]",Metascore 91 out of 100,8119,Dark Souls II,PC,2014.0,Role-Playing,Namco Bandai Games,0.08,0.08,0.0,0.02,0.18
Remember Me,"Jul 18, 2018",E10+,"The place is Neo-Paris. The year is 2084. Personal memories are now digitised, bought, sold and traded. The last vestiges of privacy and intimacy have been swept away in what appears to be a logical progression of the explosive growth of social networks at the start of the 21st century. The citizens themselves have acquiesced to this surveillance society in exchange for the comfort only smart technology can provide. This memory economy transfers immense power over society to just a handful of people. Remember Me is a third-person action adventure in which players assume the role of Nilin, a former elite memory hunter with the ability to penetrate people’s minds and steal or even alter their memories. The authorities, fearful of her knowledge and powers arrested Nilin and wiped her memory clean. After her escape from prison, Nilin embarks on a mission to recover her identity, helped by her last and only friend. This search for her past leads to her being hunted by the very people that created this surveillance society.",Metascore 70 out of 100,8050,Remember Me,X360,2013.0,Action,Capcom,0.1,0.07,0.0,0.02,0.18
